label,template_pos,template_neg,label_string,prompt_pos,prompt_neg,auc_select,auc_confirm,is_baseline
Atelectasis,{},no {},Atelectasis,Atelectasis,no Atelectasis,0.7704481121815406,0.7715709321273208,True
Atelectasis,{},no {},atelectasis,atelectasis,no atelectasis,0.7704481121815406,0.7715709321273208,False
Atelectasis,{},no {},basilar atelectasis,basilar atelectasis,no basilar atelectasis,0.7819095228349509,0.783985969388524,False
Atelectasis,{},no {},a chest x-ray with atelectasis,a chest x-ray with atelectasis,no a chest x-ray with atelectasis,0.6870402557957431,0.6880341076783498,False
Atelectasis,{},no {},lung collapse,lung collapse,no lung collapse,0.6452982009665504,0.6367624825662986,False
Atelectasis,a chest x-ray with {},a chest x-ray with no {},Atelectasis,a chest x-ray with Atelectasis,a chest x-ray with no Atelectasis,0.7148319783238023,0.7120241824466449,False
Atelectasis,a chest x-ray with {},a chest x-ray with no {},atelectasis,a chest x-ray with atelectasis,a chest x-ray with no atelectasis,0.7148319783238023,0.7120241824466449,False
Atelectasis,a chest x-ray with {},a chest x-ray with no {},basilar atelectasis,a chest x-ray with basilar atelectasis,a chest x-ray with no basilar atelectasis,0.737262737386201,0.7366000512750603,False
Atelectasis,a chest x-ray with {},a chest x-ray with no {},a chest x-ray with atelectasis,a chest x-ray with a chest x-ray with atelectasis,a chest x-ray with no a chest x-ray with atelectasis,0.6810117981238482,0.691763301593179,False
Atelectasis,a chest x-ray with {},a chest x-ray with no {},lung collapse,a chest x-ray with lung collapse,a chest x-ray with no lung collapse,0.6667943321943541,0.662862741822357,False
Atelectasis,findings consistent with {},no evidence of {},Atelectasis,findings consistent with Atelectasis,no evidence of Atelectasis,0.7472950480111367,0.7406988016895458,False
Atelectasis,findings consistent with {},no evidence of {},atelectasis,findings consistent with atelectasis,no evidence of atelectasis,0.7472950480111367,0.7406988016895458,False
Atelectasis,findings consistent with {},no evidence of {},basilar atelectasis,findings consistent with basilar atelectasis,no evidence of basilar atelectasis,0.75989778601033,0.7578252021863378,False
Atelectasis,findings consistent with {},no evidence of {},a chest x-ray with atelectasis,findings consistent with a chest x-ray with atelectasis,no evidence of a chest x-ray with atelectasis,0.6317052827080812,0.635885961083748,False
Atelectasis,findings consistent with {},no evidence of {},lung collapse,findings consistent with lung collapse,no evidence of lung collapse,0.6293341396159109,0.6256546941690951,False
Atelectasis,there is {},there is no {},Atelectasis,there is Atelectasis,there is no Atelectasis,0.7710316907117829,0.7693253882301919,False
Atelectasis,there is {},there is no {},atelectasis,there is atelectasis,there is no atelectasis,0.7710316289182071,0.7693255087639492,False
Atelectasis,there is {},there is no {},basilar atelectasis,there is basilar atelectasis,there is no basilar atelectasis,0.7563918038978399,0.7603424894391335,False
Atelectasis,there is {},there is no {},a chest x-ray with atelectasis,there is a chest x-ray with atelectasis,there is no a chest x-ray with atelectasis,0.6368729558685111,0.6481481615407878,False
Atelectasis,there is {},there is no {},lung collapse,there is lung collapse,there is no lung collapse,0.6459328827840132,0.6456418428598997,False
Atelectasis,{} is present,{} is absent,Atelectasis,Atelectasis is present,Atelectasis is absent,0.6413025665590963,0.6338388157510139,False
Atelectasis,{} is present,{} is absent,atelectasis,atelectasis is present,atelectasis is absent,0.6413025665590963,0.6338388157510139,False
Atelectasis,{} is present,{} is absent,basilar atelectasis,basilar atelectasis is present,basilar atelectasis is absent,0.5606621972609133,0.5528002944880757,False
Atelectasis,{} is present,{} is absent,a chest x-ray with atelectasis,a chest x-ray with atelectasis is present,a chest x-ray with atelectasis is absent,0.6227719708294774,0.6172091348677522,False
Atelectasis,{} is present,{} is absent,lung collapse,lung collapse is present,lung collapse is absent,0.5604262693883524,0.5529463211349555,False
Cardiomegaly,{},no {},Cardiomegaly,Cardiomegaly,no Cardiomegaly,0.8345689064853894,0.8416500532430204,True
Cardiomegaly,{},no {},cardiomegaly,cardiomegaly,no cardiomegaly,0.8345689064853894,0.8416500532430204,False
Cardiomegaly,{},no {},enlarged heart,enlarged heart,no enlarged heart,0.8004549359429276,0.8089901640525543,False
Cardiomegaly,{},no {},a chest x-ray with cardiomegaly,a chest x-ray with cardiomegaly,no a chest x-ray with cardiomegaly,0.5571580821474371,0.5730179985428225,False
Cardiomegaly,{},no {},enlarged cardiac silhouette,enlarged cardiac silhouette,no enlarged cardiac silhouette,0.8462682553318641,0.8499052234205238,False
Cardiomegaly,a chest x-ray with {},a chest x-ray with no {},Cardiomegaly,a chest x-ray with Cardiomegaly,a chest x-ray with no Cardiomegaly,0.7948898766169898,0.798679332900984,False
Cardiomegaly,a chest x-ray with {},a chest x-ray with no {},cardiomegaly,a chest x-ray with cardiomegaly,a chest x-ray with no cardiomegaly,0.7948898766169898,0.798679332900984,False
Cardiomegaly,a chest x-ray with {},a chest x-ray with no {},enlarged heart,a chest x-ray with enlarged heart,a chest x-ray with no enlarged heart,0.7681858588876853,0.7695583031089119,False
Cardiomegaly,a chest x-ray with {},a chest x-ray with no {},a chest x-ray with cardiomegaly,a chest x-ray with a chest x-ray with cardiomegaly,a chest x-ray with no a chest x-ray with cardiomegaly,0.8068265292147562,0.8342525760814739,False
Cardiomegaly,a chest x-ray with {},a chest x-ray with no {},enlarged cardiac silhouette,a chest x-ray with enlarged cardiac silhouette,a chest x-ray with no enlarged cardiac silhouette,0.811946114866968,0.8118724929743233,False
Cardiomegaly,findings consistent with {},no evidence of {},Cardiomegaly,findings consistent with Cardiomegaly,no evidence of Cardiomegaly,0.8091266076519875,0.8161619588627611,False
Cardiomegaly,findings consistent with {},no evidence of {},cardiomegaly,findings consistent with cardiomegaly,no evidence of cardiomegaly,0.8091266076519875,0.8161619588627611,False
Cardiomegaly,findings consistent with {},no evidence of {},enlarged heart,findings consistent with enlarged heart,no evidence of enlarged heart,0.7764093178450926,0.7831325210770302,False
Cardiomegaly,findings consistent with {},no evidence of {},a chest x-ray with cardiomegaly,findings consistent with a chest x-ray with cardiomegaly,no evidence of a chest x-ray with cardiomegaly,0.6959307262291612,0.7352670958134172,False
Cardiomegaly,findings consistent with {},no evidence of {},enlarged cardiac silhouette,findings consistent with enlarged cardiac silhouette,no evidence of enlarged cardiac silhouette,0.7964105628805139,0.8019930103523647,False
Cardiomegaly,there is {},there is no {},Cardiomegaly,there is Cardiomegaly,there is no Cardiomegaly,0.8374504164643484,0.8450908333933819,False
Cardiomegaly,there is {},there is no {},cardiomegaly,there is cardiomegaly,there is no cardiomegaly,0.8374504164643484,0.8450908333933819,False
Cardiomegaly,there is {},there is no {},enlarged heart,there is enlarged heart,there is no enlarged heart,0.7950280755487493,0.8018523967365632,False
Cardiomegaly,there is {},there is no {},a chest x-ray with cardiomegaly,there is a chest x-ray with cardiomegaly,there is no a chest x-ray with cardiomegaly,0.6573513116448163,0.6672711550933154,False
Cardiomegaly,there is {},there is no {},enlarged cardiac silhouette,there is enlarged cardiac silhouette,there is no enlarged cardiac silhouette,0.8177415057458384,0.8222723960960456,False
Cardiomegaly,{} is present,{} is absent,Cardiomegaly,Cardiomegaly is present,Cardiomegaly is absent,0.7752621422079458,0.7586825154725018,False
Cardiomegaly,{} is present,{} is absent,cardiomegaly,cardiomegaly is present,cardiomegaly is absent,0.7752621422079458,0.7586825154725018,False
